 profundidade, Hcp_real, Hcp_imag, Hcx_real, Hcx_imag, rho
 -0.7199999809265137E+01, -0.7607275256069063E-01, -0.5885388731081544E-04,  0.1544626115287433E+00, -0.1133445747295852E-03, 100.0
 -0.7099999904632568E+01, -0.7607285488676736E-01, -0.6923643630119693E-04,  0.1544624018131106E+00, -0.1334758494951539E-03, 100.0
 -0.7000000000000000E+01, -0.7607296731756154E-01, -0.8374209742277724E-04,  0.1544621714512125E+00, -0.1616568056193755E-03, 100.0
 -0.6900000095367432E+01, -0.7607292570360903E-01, -0.6670173942537362E-04,  0.1544619235897143E+00, -0.1954408766303080E-03, 100.0
 -0.6800000190734863E+01, -0.7607287617485162E-01, -0.4965613763036557E-04,  0.1544616644352574E+00, -0.2292143270281907E-03, 100.0
 -0.6699999809265137E+01, -0.7607281870772667E-01, -0.3260496612038200E-04,  0.1544613940797752E+00, -0.2629765408012237E-03, 100.0
 -0.6599999904632568E+01, -0.7607275327727921E-01, -0.1554787259350487E-04,  0.1544611126197358E+00, -0.2967268531973342E-03, 100.0
 -0.6500000000000000E+01, -0.7607267985705735E-01,  0.1515524277412642E-05,  0.1544608201564635E+00, -0.3304645458019365E-03, 100.0
 -0.6400000095367432E+01, -0.7607259841898686E-01,  0.1858563781201737E-04,  0.1544605167964917E+00, -0.3641888410180013E-03,   0.9
 -0.6300000190734863E+01, -0.7607250893324359E-01,  0.3566291665878455E-04,  0.1544602026519475E+00, -0.3978988958512034E-03,   0.9
 -0.6199999809265137E+01, -0.7607241136810730E-01,  0.5274784855732498E-04,  0.1544598778409791E+00, -0.4315937949000778E-03,   0.9
 -0.6099999904632568E+01, -0.7607230568979914E-01,  0.6984096459341532E-04,  0.1544595424882174E+00, -0.4652725424332501E-03,   0.9
 -0.6000000000000000E+01, -0.7607219186230500E-01,  0.8694284401663633E-04,  0.1544591967252939E+00, -0.4989340534020752E-03,   0.9
 -0.5900000095367432E+01, -0.7607231523958019E-01,  0.1727572913634434E-04,  0.1544588614755301E+00, -0.5269641213248582E-03,   0.9
 -0.5800000190734863E+01, -0.7607243886398202E-01, -0.3252382968362532E-04,  0.1544585546007118E+00, -0.5469156046317170E-03,   0.9
 -0.5699999809265137E+01, -0.7607256084916460E-01, -0.6976241781396391E-04,  0.1544582725867475E+00, -0.5617796055473103E-03,   0.9
 -0.5599999904632568E+01, -0.7607267983411331E-01, -0.9854885351671445E-04,  0.1544580128101180E+00, -0.5732308852136050E-03,   0.9
 -0.5500000000000000E+01, -0.7607279479098718E-01, -0.1213668560981181E-03,  0.1544577732468300E+00, -0.5822789438172366E-03,   0.9
 -0.5400000095367432E+01, -0.7607290491751623E-01, -0.1398040346626054E-03,  0.1544575522961270E+00, -0.5895677768989698E-03,   0.9
 -0.5300000190734863E+01, -0.7607300957188902E-01, -0.1549211406859746E-03,  0.1544573486676896E+00, -0.5955270311687609E-03,   0.9
 -0.5199999809265137E+01, -0.7607310823097316E-01, -0.1674526920709604E-03,  0.1544571613062251E+00, -0.6004538745478879E-03,   0.9
 -0.5099999904632568E+01, -0.7607320046225509E-01, -0.1779223471945595E-03,  0.1544569893392345E+00, -0.6045599703429147E-03,   0.9
 -0.5000000000000000E+01, -0.7607328590431310E-01, -0.1867124363055599E-03,  0.1544568320397738E+00, -0.6079997380619777E-03,   0.9
 -0.4900000095367432E+01, -0.7607336425281860E-01, -0.1941075391681525E-03,  0.1544566887992689E+00, -0.6108880418005610E-03,   0.9
 -0.4800000190734863E+01, -0.7607343525027319E-01, -0.2003227125742165E-03,  0.1544565591072821E+00, -0.6133116358095089E-03,   0.9
 -0.4699999809265137E+01, -0.7607349867834531E-01, -0.2055222895822857E-03,  0.1544564425362318E+00, -0.6153367805912365E-03,   0.9
 -0.4599999904632568E+01, -0.7607355435206861E-01, -0.2098326914901731E-03,  0.1544563387297172E+00, -0.6170144297087276E-03,   0.9
 -0.4500000000000000E+01, -0.7607360211541783E-01, -0.2133513211326750E-03,  0.1544562473935453E+00, -0.6183838279964869E-03,   0.9
 -0.4400000095367432E+01, -0.7607364183791451E-01, -0.2161528174444979E-03,  0.1544561682888206E+00, -0.6194750408236991E-03,   0.9
 -0.4300000190734863E+01, -0.7607367341204391E-01, -0.2182934822091685E-03,  0.1544561012266567E+00, -0.6203107433556534E-03,   0.9
 -0.4199999809265137E+01, -0.7607369675130872E-01, -0.2198144017753258E-03,  0.1544560460641905E+00, -0.6209074817251542E-03,   0.9
 -0.4099999904632568E+01, -0.7607371178881615E-01, -0.2207436036256391E-03,  0.1544560027016820E+00, -0.6212765437910915E-03,   0.9
 -0.4000000000000000E+01, -0.7607371847630337E-01, -0.2210974671626971E-03,  0.1544559710805408E+00, -0.6214245282850831E-03,   0.9
 -0.3900000095367432E+01, -0.7607371678357874E-01, -0.2208815248056880E-03,  0.1544559511821858E+00, -0.6213536673826080E-03,   0.9
 -0.3799999952316284E+01, -0.7607370669831383E-01, -0.2200907278552185E-03,  0.1544559430276710E+00, -0.6210619327585561E-03,   0.9
 -0.3700000047683716E+01, -0.7607368822621270E-01, -0.2187092013152014E-03,  0.1544559466780731E+00, -0.6205429347997481E-03,   0.9
 -0.3599999904632568E+01, -0.7607366139153264E-01, -0.2167094651510856E-03,  0.1544559622356464E+00, -0.6197856056994167E-03,   0.9
 -0.3500000000000000E+01, -0.7607362623801413E-01, -0.2140510494000693E-03,  0.1544559898458071E+00, -0.6187736368212558E-03,   0.9
 -0.3400000095367432E+01, -0.7607358283024061E-01, -0.2106783693955105E-03,  0.1544560297000475E+00, -0.6174846158543009E-03,   0.9
 -0.3299999952316284E+01, -0.7607353125552856E-01, -0.2065176449069208E-03,  0.1544560820399308E+00, -0.6158887757064870E-03,   0.9
 -0.3200000047683716E+01, -0.7607347162643420E-01, -0.2014725278272231E-03,  0.1544561471623882E+00, -0.6139472185215947E-03,   0.9
 -0.3099999904632568E+01, -0.7607340408404835E-01, -0.1954179223054211E-03,  0.1544562254266340E+00, -0.6116094044750683E-03,   0.9
 -0.3000000000000000E+01, -0.7607332880229932E-01, -0.1881911966319166E-03,  0.1544563172631435E+00, -0.6088095787922818E-03,   0.9
 -0.2900000095367432E+01, -0.7607324599357779E-01, -0.1795795230302159E-03,  0.1544564231853229E+00, -0.6054616210925924E-03,   0.9
 -0.2799999952316284E+01, -0.7607315591616358E-01, -0.1693013028750490E-03,  0.1544565438047843E+00, -0.6014514824445601E-03,   0.9
 -0.2700000047683716E+01, -0.7607305888415149E-01, -0.1569782799962406E-03,  0.1544566798515635E+00, -0.5966258200949269E-03,   0.9
 -0.2599999904632568E+01, -0.7607295528095054E-01, -0.1420924958560267E-03,  0.1544568322012771E+00, -0.5907744340860264E-03,   0.9
 -0.2500000000000000E+01, -0.7607284557808644E-01, -0.1239176192864079E-03,  0.1544570019123275E+00, -0.5836022077856281E-03,   0.9
 -0.2400000095367432E+01, -0.7607273036213112E-01, -0.1014050190297770E-03,  0.1544571902780780E+00, -0.5746824711225330E-03,   0.9
 -0.2299999952316284E+01, -0.7607261037471078E-01, -0.7298568379126625E-04,  0.1544573989021897E+00, -0.5633757231400134E-03,   0.9
 -0.2200000047683716E+01, -0.7607248657471523E-01, -0.3620569922096448E-04,  0.1544576298113178E+00, -0.5486795778402248E-03,   0.9
 -0.2099999904632568E+01, -0.7607236024093103E-01,  0.1299332401364073E-04,  0.1544578856312682E+00, -0.5289312054587002E-03,   0.9
 -0.2000000000000000E+01, -0.7607223315518238E-01,  0.8182646327904814E-04,  0.1544581698778886E+00, -0.5011610483663572E-03,   0.9
 -0.1899999976158142E+01, -0.7607235553920220E-01,  0.6490046217347514E-04,  0.1544584647542940E+00, -0.4677971102676731E-03,   0.9
 -0.1799999952316284E+01, -0.7607246971842288E-01,  0.4800614104006668E-04,  0.1544587493964358E+00, -0.4344106056355577E-03,   0.9
 -0.1700000047683716E+01, -0.7607257574438843E-01,  0.3114889047457806E-04,  0.1544590236651763E+00, -0.4010009319304682E-03,   0.9
 -0.1600000023841858E+01, -0.7607267367172299E-01,  0.1433637784877133E-04,  0.1544592874277576E+00, -0.3675667482660457E-03,   0.9
 -0.1500000000000000E+01, -0.7607276356024682E-01, -0.2420341103344515E-05,  0.1544595405569586E+00, -0.3341056602626866E-03,   0.9
